ds,кластер1,кластер2,кластер3,кластер4,кластер5,кластер6
2019-01-01,299036,1493286,11268577,50492,18596,599268
2019-01-02,228190,818971,8629779,57169,25282,952299
2019-01-03,297875,734393,7828308,61336,25863,1176552
2019-01-04,211296,742071,7542338,64927,27730,1304149
2019-01-05,270611,828797,7618576,62939,27709,1419539
2019-01-06,251068,2272403,7979191,59018,26518,1458773
2019-01-07,140426,1933708,8639727,58985,29211,1758868
2019-01-08,165484,793617,7917730,69446,34060,2835752
2019-01-09,228712,893267,7472353,78961,46477,4534129
2019-01-10,153253,905563,7620698,76684,49537,5503916
2019-01-11,184170,996081,8369846,69689,48361,3871140
2019-01-12,220109,942344,9261581,58465,36939,3066313
2019-01-13,357625,1669997,8670153,62650,36803,5411893
2019-01-14,164481,952308,7699836,78022,53328,8317188
2019-01-15,153549,913109,7661132,77245,54419,8917964
2019-01-16,202314,902803,7831543,76952,55098,9093149
2019-01-17,265301,946314,8017197,74514,54288,8744798
2019-01-18,178927,1763653,8651839,69544,48447,5231738
2019-01-19,324138,1752051,9742690,57945,37606,3528086
2019-01-20,504300,854858,8964583,68699,40303,6745365
2019-01-21,318850,1093622,7940138,87071,56640,9291461
2019-01-22,216785,952428,7952739,90969,55476,9258265
2019-01-23,224403,961721,8095988,109921,55581,9021318
2019-01-24,283080,1166682,8350125,111960,53638,8465461
2019-01-25,377500,2941124,9243480,93006,49306,5181189
2019-01-26,675372,886703,10030188,73392,38894,3570575
2019-01-27,1558017,947822,9181619,90985,42526,6412410
2019-01-28,455951,963313,8198262,117935,55998,8914763
2019-01-29,287046,979213,8158944,123752,56870,8957794
2019-01-30,336561,971445,8224518,129098,56864,8701211
2019-01-31,262975,1018271,8531980,159631,54249,8135619
2019-02-01,169471,1039022,9346125,174740,49945,5066432
2019-02-02,302899,900158,10183675,88981,39973,3499538
2019-02-03,506222,901983,9808914,95808,44144,5997513
2019-02-04,292625,1039536,8658898,123847,56585,8426103
2019-02-05,145154,1119170,8573135,125847,56806,8504586
2019-02-06,238841,1119516,8659192,115629,55819,8477700
2019-02-07,229030,1078142,8816069,111119,54690,8084207
2019-02-08,179412,1061878,9419145,92595,49403,5214961
2019-02-09,378731,984430,10207665,70777,39774,3699462
2019-02-10,513789,1025123,9429676,84046,44762,6330299
2019-02-11,240969,1116846,8435583,117192,57540,8924532
2019-02-12,243706,1184017,8475983,108086,56400,8321354
2019-02-13,275073,1590054,8495648,116574,54438,8346092
2019-02-14,269570,3585152,8800963,116151,49778,7875278
2019-02-15,182468,1334871,9473180,91985,47396,5339131
