ds,1,2,3,4,5,6,7,8
2017-01-01,8061,10075,20735,8641,3414,39,2343,11229
2017-01-02,13243,15663,33827,18966,5900,61,4213,14216
2017-01-03,16230,18959,38730,24648,7560,65,5874,17375
2017-01-04,18671,21144,42381,29907,9394,69,8042,19965
2017-01-05,20471,23040,43880,32436,10076,72,8731,20599
2017-01-06,19898,22323,41525,29460,9962,69,7238,18309
2017-01-07,20742,22267,45360,32678,10298,77,5853,17042
2017-01-08,29088,27627,54889,44767,14089,86,8880,24416
2017-01-09,48657,45654,66036,63962,23489,95,34820,77147
2017-01-10,54290,49559,65541,71067,25931,93,39468,82098
2017-01-11,56104,50611,64442,68881,26583,92,41223,85143
2017-01-12,56458,51590,62686,64723,27483,84,40679,82437
2017-01-13,45011,43272,52514,45642,22618,75,33399,66575
2017-01-14,29432,27663,43752,42105,13963,68,9604,24948
2017-01-15,40247,32714,53333,65748,19287,83,11481,28508
2017-01-16,61723,54107,67447,74883,30032,94,41524,86063
2017-01-17,63990,56372,67206,74394,31593,91,44601,85401
2017-01-18,62620,55862,64794,70537,30717,91,43759,81784
2017-01-19,61014,54833,63584,65952,29803,86,43541,77879
2017-01-20,51024,49243,57670,51900,25345,79,38433,69962
2017-01-21,31052,29030,46257,45270,14651,75,11006,27799
2017-01-22,42224,34976,55454,70287,19820,86,12229,29354
2017-01-23,64283,58402,71317,75055,30453,97,45395,92198
2017-01-24,64540,58503,70649,73134,30925,94,48660,89035
2017-01-25,62113,56840,68219,67352,29051,88,46993,86366
2017-01-26,61335,57777,67675,65477,28654,91,46654,85186
2017-01-27,49123,50045,58043,48629,23640,81,38957,75208
2017-01-28,29289,29351,46997,42510,13575,74,10347,26384
2017-01-29,38642,34511,57008,65004,17714,90,11582,30187
2017-01-30,61088,58432,72554,72891,28476,102,46762,97281
2017-01-31,61766,58430,68780,68896,28049,95,49004,99493
2017-02-01,60019,57208,67006,66012,26546,91,46793,99128
2017-02-02,59216,58183,66329,62498,26902,89,45727,89934
2017-02-03,47588,49577,57244,48621,22556,80,38696,76584
2017-02-04,28831,30667,47201,41346,12856,72,10515,27886
2017-02-05,38686,34846,56891,62308,17421,87,11800,30503
2017-02-06,61089,58316,70993,69844,28114,95,44631,89401
2017-02-07,63346,61144,71063,70025,29111,98,47482,90048
2017-02-08,61676,59668,69779,68652,28673,91,47337,87122
2017-02-09,59779,58022,66624,63296,27697,91,45699,85156
2017-02-10,48584,51334,57365,49200,23181,79,38661,73680
2017-02-11,29318,30766,45797,41300,13473,70,10351,26277
2017-02-12,40151,35972,56520,62022,18609,85,11748,28882
2017-02-13,60753,57710,69233,68599,28407,95,45629,84732
2017-02-14,57369,55319,61565,62386,27548,85,45027,80203
2017-02-15,60010,58334,65077,62795,28638,84,46060,82461
2017-02-16,58374,57901,62171,57148,27509,83,46219,75566
2017-02-17,47727,50164,56050,43549,22878,76,38519,65291
2017-02-18,29219,29565,45242,37894,13754,71,10709,24216
2017-02-19,39958,36047,55156,57492,19030,83,11563,26745
2017-02-20,57117,55695,65288,57690,27199,85,44519,77448
